Reading Count,Sensor Value,,,,,,,,,,,,,,,,,,,,,,,,
396,125,,,,,,,,,,,,,,,,,,,,,,,,
397,126,,,,,,,,,,,,,,,,,,,,,,,,
398,125,,,,,,,,,,,,,,,,,,,,,,,,
399,123,,,,,,,,,,,,,,,,,,,,,,,,
400,240,,,,,,,,,,,,,,,,,,,,,,,,
401,123,,,,,,,,,,,,,,,,,,,,,,,,
402,123,,,,,,,,,,,,,,,,,,,,,,,,
403,122,,,,,,,,,,,,,,,,,,,,,,,,
404,123,,,,,,,,,,,,,,,,,,,,,,,,
405,232,,,,,,,,,,,,,,,,,,,,,,,,
406,123,,,,,,,,,,,,,,,,,,,,,,,,
407,126,,,,,,,,,,,,,,,,,,,,,,,,
408,126,,,,,,,,,,,,,,,,,,,,,,,,
409,126,,,,,,,,,,,,,,,,,,,,,,,,
410,123,,,,,,,,,,,,,,,,,,,,,,,,
411,241,,,,,,,,,,,,,,,,,,,,,,,,
412,123,,,,,,,,,,,,,,,,,,,,,,,,
413,123,,,,,,,,,,,,,,,,,,,,,,,,
414,124,,,,,,,,,,,,,,,,,,,,,,,,
415,123,,,,,,,,,,,,,,,,,,,,,,,,
416,240,,,,,,,,,,,,,,,,,,,,,,,,
417,123,,,,,,,,,,,,,,,,,,,,,,,,
418,127,,,,,,,,,,,,,,,,,,,,,,,,
419,128,,,,,,,,,,,,,,,,,,,,,,,,
420,126,,,,,,,,,,,,,,,,,,,,,,,,
421,123,,,,,,,,,,,,,,,,,,,,,,,,
422,244,,,,,,,,,,,,,,,,,,,,,,,,
423,123,,,,,,,,,,,,,,,,,,,,,,,,
424,123,,,,,,,,,,,,,,,,,,,,,,,,
425,123,,,,,,,,,,,,,,,,,,,,,,,,
426,123,,,,,,,,,,,,,,,,,,,,,,,,
427,243,,,,,,,,,,,,,,,,,,,,,,,,
428,124,,,,,,,,,,,,,,,,,,,,,,,,
429,127,,,,,,,,,,,,,,,,,,,,,,,,
430,128,,,,,,,,,,,,,,,,,,,,,,,,
431,126,,,,,,,,,,,,,,,,,,,,,,,,
432,123,,,,,,,,,,,,,,,,,,,,,,,,
433,147,,,,,,,,,,,,,,,,,,,,,,,,
434,124,,,,,,,,,,,,,,,,,,,,,,,,
435,124,,,,,,,,,,,,,,,,,,,,,,,,
436,124,,,,,,,,,,,,,,,,,,,,,,,,
437,124,,,,,,,,,,,,,,,,,,,,,,,,
438,245,,,,,,,,,,,,,,,,,,,,,,,,
439,123,,,,,,,,,,,,,,,,,,,,,,,,
440,126,,,,,,,,,,,,,,,,,,,,,,,,
441,126,,,,,,,,,,,,,,,,,,,,,,,,
442,123,,,,,,,,,,,,,,,,,,,,,,,,
443,121,,,,,,,,,,,,,,,,,,,,,,,,
444,123,,,,,,,,,,,,,,,,,,,,,,,,
445,120,,,,,,,,,,,,,,,,,,,,,,,,
446,120,,,,,,,,,,,,,,,,,,,,,,,,
447,119,,,,,,,,,,,,,,,,,,,,,,,,
448,120,,,,,,,,,,,,,,,,,,,,,,,,
449,221,,,,,,,,,,,,,,,,,,,,,,,,
450,119,,,,,,,,,,,,,,,,,,,,,,,,
451,122,,,,,,,,,,,,,,,,,,,,,,,,
452,122,,,,,,,,,,,,,,,,,,,,,,,,
453,120,,,,,,,,,,,,,,,,,,,,,,,,
454,118,,,,,,,,,,,,,,,,,,,,,,,,
455,120,,,,,,,,,,,,,,,,,,,,,,,,
456,119,,,,,,,,,,,,,,,,,,,,,,,,
457,119,,,,,,,,,,,,,,,,,,,,,,,,
458,119,,,,,,,,,,,,,,,,,,,,,,,,
459,119,,,,,,,,,,,,,,,,,,,,,,,,
460,219,,,,,,,,,,,,,,,,,,,,,,,,
461,118,,,,,,,,,,,,,,,,,,,,,,,,
462,122,,,,,,,,,,,,,,,,,,,,,,,,
463,122,,,,,,,,,,,,,,,,,,,,,,,,
464,119,,,,,,,,,,,,,,,,,,,,,,,,
465,119,,,,,,,,,,,,,,,,,,,,,,,,
466,119,,,,,,,,,,,,,,,,,,,,,,,,
467,119,,,,,,,,,,,,,,,,,,,,,,,,
468,118,,,,,,,,,,,,,,,,,,,,,,,,
469,118,,,,,,,,,,,,,,,,,,,,,,,,
470,118,,,,,,,,,,,,,,,,,,,,,,,,
471,171,,,,,,,,,,,,,,,,,,,,,,,,
472,118,,,,,,,,,,,,,,,,,,,,,,,,
473,122,,,,,,,,,,,,,,,,,,,,,,,,
474,122,,,,,,,,,,,,,,,,,,,,,,,,
475,119,,,,,,,,,,,,,,,,,,,,,,,,
476,119,,,,,,,,,,,,,,,,,,,,,,,,
477,119,,,,,,,,,,,,,,,,,,,,,,,,
478,118,,,,,,,,,,,,,,,,,,,,,,,,
479,118,,,,,,,,,,,,,,,,,,,,,,,,
480,118,,,,,,,,,,,,,,,,,,,,,,,,
481,118,,,,,,,,,,,,,,,,,,,,,,,,
482,123,,,,,,,,,,,,,,,,,,,,,,,,
483,118,,,,,,,,,,,,,,,,,,,,,,,,
484,121,,,,,,,,,,,,,,,,,,,,,,,,
485,121,,,,,,,,,,,,,,,,,,,,,,,,
486,117,,,,,,,,,,,,,,,,,,,,,,,,
487,140,,,,,,,,,,,,,,,,,,,,,,,,
488,117,,,,,,,,,,,,,,,,,,,,,,,,
489,117,,,,,,,,,,,,,,,,,,,,,,,,
490,118,,,,,,,,,,,,,,,,,,,,,,,,
491,117,,,,,,,,,,,,,,,,,,,,,,,,
492,118,,,,,,,,,,,,,,,,,,,,,,,,
493,118,,,,,,,,,,,,,,,,,,,,,,,,
